,14January2022,23June2022,GrowthPct
KOHINOOR,7.400000095367432,75.5999984741211,921.6215878354976
IMPEXFERRO,1.2999999523162842,11.949999809265137,819.230788276041
ZENITHSTL,1.2999999523162842,9.5,630.7692575736874
SEJALLTD,39.29999923706055,265.0,574.300267543264
MBAPL,179.35000610351562,634.0,253.49873343972655
AVROIND,36.129032135009766,122.80000305175781,239.892866747355
CHENNPETRO,115.80000305175781,357.8999938964844,209.06734409714812
KRITIKA,33.0,81.6500015258789,147.4242470481179
SIL,16.75,40.79999923706055,143.5820849973764
MRPL,45.45000076293945,109.05000305175781,139.93399608626336
AWL,271.25,650.0,139.63133640552996
UNITEDPOLY,16.549999237060547,39.5,138.67070586654367
ADANIPOWER,119.69999694824219,282.54998779296875,136.0484502895537
DEEPENR,43.0,95.9000015258789,123.02325936250908
GLOBAL,65.48416212968489,144.39999389648438,120.51132548739724
RAJMET,185.8000030517578,406.25,118.64908144637221
VAISHALI,39.400001525878906,83.5,111.92892580259195
BCONCEPTS,50.75,107.3499984741211,111.52709058940118
VADILALIND,954.9500122070312,2000.0,109.43504627825524
BLS,106.48380405058873,218.64999389648438,105.3363850455674
DSSL,214.6999969482422,437.0,103.53982590197603
VERANDA,131.25,266.20001220703125,102.81905691964286
BDL,437.5426114180462,853.3499755859375,95.0324273149734
SRPL,51.0,98.25,92.64705882352942
MARATHON,106.94999694824219,202.8000030517578,89.62132663725242
HARDWYN,120.0,224.89999389648438,87.41666158040364
KHANDSE,20.149999618530273,37.650001525878906,86.8486463456572
GODHA,5.125,9.5,85.36585365853658
SHANTI,21.0,38.70000076293945,84.28571791875929
SHARDACROP,367.4324751941691,672.0,82.89074738014996
CREDITACC,596.0,1083.9000244140625,81.86242020370176
ORIENTBELL,366.25,655.5499877929688,78.98975775917235
KRISHANA,174.89999389648438,310.6000061035156,77.58720236854103
KPIGREEN,432.3999938964844,748.9000244140625,73.1961227995178
JKIL,176.25,303.29998779296875,72.08509945700354
MFL,785.0,1338.199951171875,70.47133135947452
MIRZAINT,155.89999389648438,264.70001220703125,69.78834032718994
NDTV,120.9000015258789,205.0,69.5616190344872
JAGSNPHARM,180.60000610351562,306.0,69.43521022065087
GAEL,174.0,294.3999938964844,69.19539879108298
HINDMOTORS,13.75,23.049999237060547,67.63635808771306
TREEHOUSE,12.300000190734863,20.600000381469727,67.47967530103736
MONARCH,175.89999389648438,288.0,63.72939738104
DANGEE,212.89999389648438,344.95001220703125,62.024434991178
GSS,145.5,233.89999389648438,60.75600955084837
TECHIN,8.199999809265137,13.0,58.53658905347008
TCPLPACK,544.25,860.9000244140625,58.18098748995176
GENESYS,386.25,609.2000122070312,57.721686008292885
MEGASTAR,113.5,179.0,57.70925110132159
ARIHANTCAP,53.53816056493876,84.4000015258789,57.64456723070731
MAHLIFE,266.75,415.0,55.5763823805061
ICEMAKE,79.0999984741211,122.94999694824219,55.436155903931365
SILVERTUC,185.0,286.6499938964844,54.945942646748314
APCOTEXIND,399.93738124644193,614.2000122070312,53.57404458988554
NBVENTURES,119.5,181.5500030517578,51.92468874624085
DEVIT,114.94999694824219,172.9499969482422,50.456721652733314
RENUKA,33.900001525878906,50.849998474121094,49.99998874720622
VISHNU,995.0999755859375,1490.0,49.733698779628064
CINELINE,95.5999984741211,143.0,49.58159234564222
GHCL,444.75,665.25,49.57841483979764
JKPAPER,215.8000030517578,322.75,49.559775456810875
PRITI,75.0,111.6500015258789,48.866668701171875
HBLPOWER,64.1500015258789,95.30000305175781,48.558068254000915
MHLXMIRU,82.80000305175781,122.80000305175781,48.309176963431064
BIGBLOC,74.31221514890309,110.0,48.02411659992575
ANDHRAPAP,220.5,325.04998779296875,47.414960450325964
SHAHALLOYS,56.95000076293945,83.80000305175781,47.146623229355875
UGARSUGAR,34.599998474121094,50.54999923706055,46.09827013393998
PEARLPOLY,18.600000381469727,27.0,45.161287345449644
CANTABIL,800.0,1148.300048828125,43.537506103515625
TNPL,124.8499984741211,179.10000610351562,43.45214921299296
WFL,116.6500015258789,166.89999389648438,43.077575407881554
DENORA,489.8999938964844,699.4000244140625,42.763836115059306
ROHLTD,95.0999984741211,134.64999389648438,41.5877981671322
MGEL,141.39999389648438,199.8000030517578,41.30128124194031
HAL,1345.8255128870367,1889.949951171875,40.43053375601374
SOUTHWEST,157.0,218.5500030517578,39.20382359984574
MADRASFERT,33.45000076293945,46.5,39.013449744130185
INFOBEAN,498.70001220703125,691.0,38.56025327569813
KHAICHEM,76.89052274927106,106.5,38.50861743687346
KERNEX,136.5,189.0,38.46153846153847
GANESHHOUC,208.0,287.0,37.980769230769226
RAYMOND,690.9000244140625,951.9000244140625,37.77681151789631
SDBL,48.400001525878906,66.5,37.39668988324977
ARMANFIN,831.5999755859375,1129.0,35.76238974808979
SIMPLEXINF,45.70000076293945,61.900001525878906,35.44857875818
VRLLOG,482.2978815733367,653.0999755859375,35.41423268445958
SHOPERSTOP,339.70001220703125,459.8999938964844,35.3841558345888
FINEORG,3808.10009765625,5150.0,35.23804175130905
GOKULAGRO,77.94999694824219,104.5999984741211,34.18858572063084
GMDCLTD,111.75,149.5500030517578,33.82550608658417
CGCL,527.9500122070312,705.0,33.53536958031929
SHANTIGEAR,166.2341240379286,221.60000610351562,33.30596674179516
MANGCHEFER,79.69999694824219,106.0,32.99875038745264
TIMETECHNO,78.80000305175781,104.80000305175781,32.99492258004425
SELAN,150.4815800375996,200.10000610351562,32.97308949940469
AGROPHOS,24.989690761290248,33.150001525878906,32.65470886590248
EASEMYTRIP,292.0,387.0,32.534246575342465
NAVKARCORP,45.20000076293945,59.849998474121094,32.411498813941435
PITTIENG,265.121337890625,351.0,32.39221059785236
WENDT,5517.018910711809,7300.0,32.31783537711581
ATGL,1828.0,2410.0,31.838074398249454
SWANENERGY,177.9499969482422,234.39999389648438,31.722392759950992
WSTCSTPAPR,248.6999969482422,326.79998779296875,31.403293849247703
SHANKARA,552.4000244140625,724.9000244140625,31.227370089813604
RATNAMANI,1964.699951171875,2577.0,31.16506662826094
EXCELINDUS,962.5,1258.949951171875,30.799994926948056
TATAELXSI,6415.0,8369.0,30.459859703819177
IMAGICAA,11.149999618530273,14.5,30.0448474984908
IITL,82.5,107.0,29.6969696969697
KKCL,222.00007616144023,287.54998779296875,29.52697709160248
SHYAMCENT,17.399999618530273,22.5,29.310347662527757
SRHHYPOLTD,352.0,455.0,29.261363636363637
LEMONTREE,50.400001525878906,65.0,28.96825006369182
GESHIP,312.15831813205796,401.25,28.540543914082722
VBL,620.0,794.9500122070312,28.217743904359878
ELECON,210.0,268.79998779296875,27.999994187127974
OIL,216.67655423539503,277.0,27.840319861774354
GNFC,493.29998779296875,627.0,27.103185792727675
VOLTAMP,2003.25,2545.0,27.043554224385375
E2E,94.9000015258789,120.55000305175781,27.028452174349272
INOXLEISUR,383.70001220703125,487.20001220703125,26.974197734493423
EROSMEDIA,19.549999237060547,24.5,25.31969798523488
IVP,134.8000030517578,167.60000610351562,24.332345926701443
SUNFLAG,77.5,96.05000305175781,23.935487808719756
SATIN,86.4000015258789,106.75,23.55323855871203
SPECIALITY,101.0,124.5999984741211,23.366335122892174
CHALET,242.0,298.5,23.34710743801653
POWERINDIA,2699.39990234375,3328.75,23.314444707129823
SATIA,98.0,120.3499984741211,22.806120891960298
COROMANDEL,789.9536909397799,969.0999755859375,22.678074259395334
RUCHIRA,83.94999694824219,102.69999694824219,22.334723861348042
PREMEXPLN,262.1000061035156,319.8500061035156,22.033574458289714
ITC,219.72277281079175,267.8999938964844,21.92636678910798
AXISCADES,112.25,136.5,21.603563474387528
BSHSL,321.0,390.0,21.49532710280374
WEWIN,37.150001525878906,45.099998474121094,21.39972172734414
