,22June2022,23June2022,GrowthTrade
ESSENTIA,0.0,80100.0,inf
PDPL,34.0,5113.0,14938.235294117647
IMPEXFERRO,15416.0,1121108.0,7172.366372599896
MOKSH,29879.0,1907349.0,6283.577094280264
LAKPRE,121.0,5055.0,4077.6859504132235
SORILINFRA,9535.0,390195.0,3992.2391190351336
KANSAINER,69389.0,2723989.0,3825.6784216518467
SALASAR,36935.0,1417890.0,3738.8791119534317
TREEHOUSE,17665.0,624317.0,3434.203226719502
GILLANDERS,109.0,3475.0,3088.0733944954127
AHLADA,6843.0,208553.0,2947.6837644308052
SHRIPISTON,2.0,59.0,2850.0
ZENITHSTL,54409.0,1425269.0,2519.546398573765
UNIVPHOTO,674.0,15776.0,2240.652818991098
MUNJALAU,47137.0,1095267.0,2223.5823238644803
GAYAPROJ,151513.0,3406678.0,2148.4394078395912
SOLARA,43914.0,886675.0,1919.1169103247255
NRBBEARING,59215.0,1168571.0,1873.4374736131049
VARROC,70723.0,1375870.0,1845.4350069991374
SOFTTECH,6.0,103.0,1616.6666666666667
FRETAIL,1306847.0,21675228.0,1558.5895671031117
MUNJALSHOW,18824.0,296001.0,1472.4660008499789
NAHARCAP,7137.0,104396.0,1362.7434496286955
AGROPHOS,15238.0,213795.0,1303.038456490353
AARVEEDEN,980.0,13655.0,1293.3673469387757
SOUTHWEST,1019.0,13921.0,1266.143277723258
MMTC,753272.0,9631301.0,1178.5953812168777
AKZOINDIA,4179.0,52141.0,1147.690835128021
AKG,6702.0,82362.0,1128.9167412712623
LANCER,17785.0,211442.0,1088.8782682035423
HIRECT,1987.0,23405.0,1077.9063915450427
KBCGLOBAL,1359654.0,15487021.0,1039.0413296323918
FSC,14933.0,169092.0,1032.3377753967723
SUDARSCHEM,30724.0,347812.0,1032.0531180835828
MACPOWER,1071.0,11928.0,1013.7254901960783
GATEWAY,83676.0,925775.0,1006.3805631244323
FLFL,23082.0,255240.0,1005.7967247205615
REPCOHOME,130319.0,1437258.0,1002.876786961226
KIOCL,58656.0,641358.0,993.4226677577742
JITFINFRA,10413.0,112789.0,983.1556707961201
UNITEDTEA,414.0,4374.0,956.5217391304348
SUNCLAYLTD,764.0,8019.0,949.6073298429319
CAPTRUST,2927.0,30677.0,948.0696959344039
AMBIKCO,16263.0,170059.0,945.680378773904
HIKAL,133475.0,1380811.0,934.5090840981458
TTKHLTCARE,2052.0,21146.0,930.5068226120858
PGIL,4947.0,48419.0,878.754800889428
FELDVR,4225.0,41186.0,874.8165680473372
RADAAN,6393.0,58714.0,818.4107617706866
LAXMIMACH,817.0,7500.0,817.9926560587515
THOMASCOOK,161672.0,1464454.0,805.8179523974467
TPLPLASTEH,2823.0,25405.0,799.929153382926
KANANIIND,43864.0,394410.0,799.165602772205
ICIL,270978.0,2367088.0,773.5351209323265
ICRA,1190.0,10345.0,769.327731092437
GAEL,236419.0,2045918.0,765.3779941544461
ORTEL,605.0,5201.0,759.6694214876032
JETFREIGHT,5623.0,47256.0,740.4054775031123
SMSPHARMA,11111.0,93223.0,739.0153901539015
SABEVENTS,479.0,3971.0,729.0187891440502
LAXMICOT,2942.0,24082.0,718.5588035350102
MELSTAR,1.0,8.0,700.0
KIMS,32106.0,255508.0,695.8263252974522
LOKESHMACH,10748.0,85266.0,693.3196873836993
UCALFUEL,10731.0,83847.0,681.3530891808778
SEPC,382619.0,2868894.0,649.8043745867299
INDTERRAIN,27077.0,198997.0,634.9300144033681
3MINDIA,3103.0,22800.0,634.77280051563
TRIL,57654.0,421334.0,630.797516217435
ELECTHERM,11184.0,81229.0,626.296494992847
NXTDIGITAL,4781.0,34683.0,625.4340096214181
TIINDIA,45741.0,329604.0,620.5876565881813
PKTEA,148.0,1055.0,612.8378378378378
GILLETTE,1602.0,11357.0,608.9263420724094
BASML,23469.0,163809.0,597.9803144573693
REPRO,353.0,2435.0,589.8016997167139
ROLEXRINGS,30889.0,210864.0,582.65078183172
STAR,826917.0,5626565.0,580.4268142993795
V2RETAIL,26339.0,175450.0,566.1224799726641
SHIVATEX,2235.0,14688.0,557.1812080536913
UMESLTD,108.0,700.0,548.1481481481482
HERCULES,3661.0,23339.0,537.503414367659
GLOBE,458955.0,2868230.0,524.947979649421
STCINDIA,28204.0,175611.0,522.6457240107786
VAKRANGEE,1936272.0,11949796.0,517.1548212234644
HIMATSEIDE,76923.0,471099.0,512.4293124293124
YAARI,134150.0,817751.0,509.5795751024972
SEYAIND,6766.0,40696.0,501.47797812592376
3PLAND,4390.0,26273.0,498.4738041002278
TCIFINANCE,50.0,298.0,496.0
ORIENTALTL,9965.0,58211.0,484.15454089312595
NDL,179042.0,1040974.0,481.4132996727025
GESHIP,109530.0,630046.0,475.2268784807815
DWARKESH,730630.0,4195979.0,474.2960185045782
OMAXAUTO,7164.0,39438.0,450.50251256281405
VHL,120.0,658.0,448.3333333333333
KIRLOSBROS,14911.0,81568.0,447.03239219368254
MAXIND,5232.0,28616.0,446.9418960244648
TEMBO,1827.0,9898.0,441.7624521072797
SHIVAMAUTO,47304.0,253870.0,436.6776593945544
MARSHALL,17456.0,93365.0,434.85907424381304
MEDICAMEQ,2170.0,11512.0,430.5069124423963
GRPLTD,480.0,2526.0,426.25
JKIL,238233.0,1250005.0,424.69850944243655
STERTOOLS,99841.0,521555.0,422.38559309301786
MAYURUNIQ,25368.0,126314.0,397.9265216020183
MINDACORP,499224.0,2402747.0,381.29637196929633
INDOTECH,2494.0,11877.0,376.22293504410584
NITINSPIN,61938.0,293897.0,374.50192127611484
ANMOL,1016.0,4786.0,371.06299212598424
ZODIACLOTH,2608.0,12159.0,366.21932515337426
MINDAIND,86161.0,401562.0,366.0600503708174
KALYANIFRG,48.0,220.0,358.33333333333337
SUVIDHAA,126046.0,566575.0,349.49859575075766
DHANI,4480819.0,20057294.0,347.62562379779234
JSWHL,378.0,1674.0,342.85714285714283
TCIDEVELOP,45.0,199.0,342.22222222222223
ASAHIINDIA,526757.0,2324799.0,341.3418331412777
CCHHL,32373.0,141335.0,336.5829549315788
BEARDSELL,16910.0,73265.0,333.264340626848
RKDL,1633.0,7057.0,332.14941824862217
KHANDSE,2311.0,9943.0,330.2466464733881
BIRLACORPN,39504.0,169810.0,329.8552045362495
BROOKS,3954.0,16956.0,328.83156297420334
MONTECARLO,32810.0,140454.0,328.08290155440415
VADILALIND,10976.0,46718.0,325.6377551020408
SDBL,47010.0,197453.0,320.0233992767496
TNTELE,4392.0,18446.0,319.9908925318761
ELGIEQUIP,148917.0,621221.0,317.1592229228362
VALIANTORG,21226.0,88376.0,316.3572976538208
DENORA,9289.0,38675.0,316.35267520723437
GFSTEELS,1650.0,6863.0,315.93939393939394
RTNINDIA,877393.0,3645811.0,315.5277053726209
EVEREADY,30152.0,124369.0,312.47346776333245
THEINVEST,3555.0,14540.0,309.0014064697609
JASH,5403.0,21790.0,303.29446603738666
SPARC,200002.0,805134.0,302.5629743702563
JTLINFRA,39217.0,157132.0,300.67317744855546
SHAKTIPUMP,58268.0,232934.0,299.76316331434066
POLICYBZR,214135.0,845020.0,294.62021621874055
SHIVAMILLS,5123.0,20003.0,290.45481163380833
SPMLINFRA,26866.0,103879.0,286.6559964267104
STARTECK,11101.0,42877.0,286.24448247905593
INFOMEDIA,2630.0,10073.0,283.00380228136885
EIHAHOTELS,3365.0,12745.0,278.7518573551263
ORIENTHOT,27584.0,102814.0,272.7305684454756
INDNIPPON,6556.0,24176.0,268.7614399023795
CORDSCABLE,10599.0,38822.0,266.27983772053966
SMSLIFE,4076.0,14740.0,261.6290480863592
ASTEC,9823.0,35480.0,261.1931181919984
SUTLEJTEX,29986.0,107906.0,259.85459881277933
MARALOVER,17860.0,63943.0,258.023516237402
SURYALAXMI,1934.0,6901.0,256.8252326783868
RICOAUTO,408671.0,1445202.0,253.6345862564263
SINTERCOM,865.0,3050.0,252.60115606936418
KILITCH,958.0,3376.0,252.40083507306886
EXCEL,58462.0,205082.0,250.79538845745955
JAYSREETEA,11950.0,41615.0,248.24267782426776
APTECHT,80690.0,280167.0,247.21402899987606
HINDCOMPOS,1073.0,3698.0,244.64119291705498
SADBHIN,71059.0,243462.0,242.6195133621357
EXPLEOSOL,2163.0,7406.0,242.39482200647248
NBVENTURES,1173976.0,4016123.0,242.09583500855211
SANGAMIND,4529.0,15404.0,240.11923161845883
MBLINFRA,18140.0,61471.0,238.86990077177506
ATUL,10880.0,36854.0,238.7316176470588
PRECAM,32586.0,110062.0,237.7585466151108
LATENTVIEW,323148.0,1090995.0,237.61465334769207
SABTN,2961.0,9850.0,232.65788584937522
UGARSUGAR,95620.0,314570.0,228.97929303492992
NAHARINDUS,31495.0,103237.0,227.78853786315287
KRITIKA,10747.0,34973.0,225.4210477342514
PNC,5516.0,17596.0,218.9992748368383
TIDEWATER,4031.0,12840.0,218.53138179111883
TIMESGTY,1818.0,5780.0,217.93179317931794
BANG,12105.0,38051.0,214.34118133002892
DALBHARAT,84639.0,265788.0,214.025449260979
